Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
07/02/2023	08/05/2023		MXF601200800	MXF601200800	1	0.99	0.99	AUD	S	555716427	Fadi El Saadi	Ya Habibi	Fonarte Latino, S.A. de C.V.		H		AU			1.69	AUD
07/02/2023	08/05/2023		MXF602300392	MXF602300392	1	1.77	1.77	BRL	S	1694070488	Dulce María	Regálame Todo Tu Amor	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
07/02/2023	08/05/2023	7509841210157		7509841210157	1	7.00	7.00	CAD	S	143894282	Silvio Rodríguez, Pablo Milanés	Silvio Rodríguez - Pablo Milanés	Fonarte Latino, S.A. de C.V.		I		CA			9.99	CAD
07/02/2023	08/05/2023		MXF602300386	MXF602300386	1	0.91	0.91	CAD	S	1691390676	Santaella	Esta Es Pa' Mi Viejo	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
07/02/2023	08/05/2023	7509841318075		7509841318075	1	7.70	7.70	CAD	S	1482678894	Regina Orozco, Omara Portuondo	Pedazos del Corazón (Homenaje a Álvaro Carrillo y Agustín Lara)	Fonarte Latino, S.A. de C.V.		I		CA			10.99	CAD
07/02/2023	08/05/2023		MXF602100606	MXF602100606	1	0.91	0.91	CAD	S	1575993685	JNS	Esta Historia Me Suena	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
07/02/2023	08/05/2023		MXF602300393	MXF602300393	1	0.91	0.91	CAD	S	1694593494	Santaella, Falete	La Farsante	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
07/02/2023	08/05/2023		MXF600600977	MXF600600977	1	0.70	0.70	CAD	S	188299010	René Villanueva	Arbol Caído (Yaravi Arequipeño)	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
07/02/2023	08/05/2023		MXF600600443	MXF600600443	1	0.91	0.91	CAD	S	167015507	Chava Flores	Cerró Sus Ojitos Cleto	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
07/02/2023	08/05/2023		MXF600600022	MXF600600022	1	0.91	0.91	CAD	S	143894851	Silvio Rodríguez	Te Doy una Canción	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
07/02/2023	08/05/2023		MXF600600018	MXF600600018	1	0.91	0.91	CAD	S	143894648	Silvio Rodríguez	Santiago de Chile	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
07/02/2023	08/05/2023		MXF600602423	MXF600602423	1	0.70	0.70	CAD	S	188300983	Nacha Guevara	Te Quiero	Fonarte Latino, S.A. de C.V.		H		CA			0.99	CAD
07/02/2023	08/05/2023		MXF600800186	MXF600800186	1	1.12	1.12	CHF	S	292776069	Los Folkloristas	El Cóndor Pasa (Danza)	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
07/02/2023	08/05/2023	7509841211864		7509841211864	1	4.90	4.90	EUR	S	187094097	Alejandro Santiago	A Tu Voluntad	Fonarte Latino, S.A. de C.V.		I		ES			8.99	EUR
07/02/2023	08/05/2023		MXF601800264	MXF601800264	1	0.90	0.90	EUR	S	1357300153	Big Band Jazz de México	Louisiana Sunday Afternoon	Fonarte Latino, S.A. de C.V.		H		BE			1.29	EUR
07/02/2023	08/05/2023		MXF601200996	MXF601200996	1	0.90	0.90	EUR	S	566616460	Carlos Macías	Olvidarte Jamás	Fonarte Latino, S.A. de C.V.		H		IT			1.29	EUR
07/02/2023	08/05/2023		MXF601400032	MXF601400032	1	0.90	0.90	EUR	S	805807508	Liliana Felipe	Las Histéricas	Fonarte Latino, S.A. de C.V.		H		ES			1.29	EUR
07/02/2023	08/05/2023		MXF602300265	MXF602300265	1	0.90	0.90	EUR	S	1678371632	Dulce María, David Zepeda	Pienso En Ti	Fonarte Latino, S.A. de C.V.		H		LU			1.29	EUR
07/02/2023	08/05/2023		MXF602300270	MXF602300270	1	0.90	0.90	EUR	S	1680262777	Big Band Jazz de México	Late Night	Fonarte Latino, S.A. de C.V.		H		BE			1.29	EUR
07/02/2023	08/05/2023		MXF602300392	MXF602300392	1	0.90	0.90	EUR	S	1694070488	Dulce María	Regálame Todo Tu Amor	Fonarte Latino, S.A. de C.V.		H		BE			1.29	EUR
07/02/2023	08/05/2023		MXF601000057	MXF601000057	1	0.90	0.90	EUR	S	357708226	Fernanda Delgado	CAPA 6 Ehyeh Asher Ehyeh (Yo soy el que Yo soy)	Fonarte Latino SA de CV		H		FI			1.29	EUR
07/02/2023	08/05/2023		MXF601800263	MXF601800263	1	0.90	0.90	EUR	S	1357300152	Big Band Jazz de México	Puerta al Sol	Fonarte Latino, S.A. de C.V.		H		BE			1.29	EUR
07/02/2023	08/05/2023		MXF600900017	MXF600900017	1	0.50	0.50	EUR	S	320655750	Mercedes Ferrer	Fiesta feista	Fonarte Latino, S.A. de C.V.		H		ES			0.69	EUR
07/02/2023	08/05/2023	7509841440271		7509841440271	1	4.90	4.90	EUR	S	257288998	Various Artists	1, 2, 3 Por... la Trova, Vol. III	Fonarte Latino, S.A. de C.V.		I		ES			8.99	EUR
07/02/2023	08/05/2023		MXF600600428	MXF600600428	1	0.90	0.90	EUR	S	145983047	Fernando Delgadillo	Hoy Ten Miedo de Mi	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR
07/02/2023	08/05/2023		MXF600603378	MXF600603378	1	0.57	0.57	GBP	S	208304295	La Bodeguita del Medio	Guantanamera	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
07/02/2023	08/05/2023		MXF601800269	MXF601800269	1	0.72	0.72	GBP	S	1357300240	Big Band Jazz de México	Sway (feat. Daniel Boaventura)	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
07/02/2023	08/05/2023		MXF602100665	MXF602100665	1	0.72	0.72	GBP	S	1588805383	Las Ánimas del Cuarto Obscuro	Decadencia	Fonarte Latino, S.A. de C.V.		H		GB			0.99	GBP
07/02/2023	08/05/2023		MXF602000101	MXF602000101	1	190.00	190.00	HUF	S	1500801306	Camila Sodi	A Quién Le Importa?	Fonarte Latino, S.A. de C.V.		H		HU			299.00	HUF
07/02/2023	08/05/2023		MXF602000154	MXF602000154	1	148.00	148.00	JPY	S	1502764062	Fadi El Saadi	Shahd Entrance	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
07/02/2023	08/05/2023	7509841213974		7509841213974	1	857.00	857.00	JPY	S	292661580	Pedro Aznar	Quebrado	Fonarte Latino, S.A. de C.V.		I		JP			1528.00	JPY
07/02/2023	08/05/2023		MXF600900159	MXF600900159	1	148.00	148.00	JPY	S	319834704	Inspector	Noviembre	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
07/02/2023	08/05/2023		MXF601000127	MXF601000127	1	148.00	148.00	JPY	S	364390597	Fadi El Saadi	Saadi Eqaa	Fonarte Latino SA de CV		H		JP			255.00	JPY
07/02/2023	08/05/2023		MXF601100082	MXF601100082	1	118.00	118.00	JPY	S	425064989	El Gran Silencio	Disparos	Fonarte Latino SA de CV		H		JP			204.00	JPY
07/02/2023	08/05/2023		MXF601200674	MXF601200674	1	118.00	118.00	JPY	S	542078261	Cristian Mendoza	Hope	Fonarte Latino, S.A. de C.V.		H		JP			204.00	JPY
07/02/2023	08/05/2023		MXF601200792	MXF601200792	2	118.00	236.00	JPY	S	555716419	Fadi El Saadi	Set El Hosn	Fonarte Latino, S.A. de C.V.		H		JP			204.00	JPY
07/02/2023	08/05/2023		MXF602000675	MXF602000675	2	148.00	296.00	JPY	S	1542072810	Fadi El Saadi	Zay El Asal	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
07/02/2023	08/05/2023		MXF602300301	MXF602300301	1	148.00	148.00	JPY	S	1683409291	Fadi El Saadi	Rumba Oriental (رومبا أورينتال)	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
07/02/2023	08/05/2023		MXF601301187	MXF601301187	1	148.00	148.00	JPY	S	765846873	Carlos Macías	Te Sigo Queriendo	Fonarte Latino, S.A. de C.V.		H		JP			255.00	JPY
07/02/2023	08/05/2023		MXF600603114	MXF600603114	1	9.15	9.15	MXN	S	488159212	Eugenia León	San Miguel Arcángel	Fonarte Latino SA de CV		H		MX			15.00	MXN
07/02/2023	08/05/2023	7509841210485		7509841210485	1	73.20	73.20	MXN	S	145022669	Amparo Ochoa	Canta con los Niños	Fonarte Latino, S.A. de C.V.		I		MX			120.00	MXN
07/02/2023	08/05/2023	7509841210522		7509841210522	1	54.90	54.90	MXN	S	145023232	Gerardo Tamez	Tierra Mestiza	Fonarte Latino, S.A. de C.V.		I		MX			90.00	MXN
07/02/2023	08/05/2023		MXF600600123	MXF600600123	1	7.32	7.32	MXN	S	145384552	Kitzia y Gabriela	Cajita de Musica	Fonarte Latino, S.A. de C.V.		H		MX			12.00	MXN
07/02/2023	08/05/2023	7509841211284		7509841211284	1	73.20	73.20	MXN	S	145982914	Fernando Delgadillo	Con Cierto Aire a Ti	Fonarte Latino, S.A. de C.V.		I		MX			120.00	MXN
07/02/2023	08/05/2023		MXF600600427	MXF600600427	1	9.15	9.15	MXN	S	145983042	Fernando Delgadillo	Jonas el Enterado	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXF600600428	MXF600600428	2	9.15	18.30	MXN	S	145983047	Fernando Delgadillo	Hoy Ten Miedo de Mi	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXF600600429	MXF600600429	1	9.15	9.15	MXN	S	145983128	Fernando Delgadillo	En Tu Cumpleaños	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXF600600431	MXF600600431	2	9.15	18.30	MXN	S	145983196	Fernando Delgadillo	Hoy Hace un Buen Día	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXF600600433	MXF600600433	1	9.15	9.15	MXN	S	145983245	Fernando Delgadillo	Julieta	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXF600600434	MXF600600434	1	9.15	9.15	MXN	S	145983258	Fernando Delgadillo	Bajo Tu Pisada	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023	7509841214582		7509841214582	1	73.20	73.20	MXN	S	401781260	Aarón Cruz Trío	Eco	Fonarte Latino SA de CV		I		MX			120.00	MXN
07/02/2023	08/05/2023		MXF602300402	MXF602300402	1	9.15	9.15	MXN	S	1694773182	Calle Cuatro	La Ruina de Sus Ojos (feat. Silverio Jimenez)	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023	7509841279956		7509841279956	1	73.20	73.20	MXN	S	1618482403	José Manuel Aguilera	Yendo al Cine Solo (2022)	Fonarte Latino, S.A. de C.V.		I		MX		CMA	120.00	MXN
07/02/2023	08/05/2023	7509841279956		7509841279956	1	73.20	73.20	MXN	S	1618482403	José Manuel Aguilera	Yendo al Cine Solo (2022)	Fonarte Latino, S.A. de C.V.		I		MX			120.00	MXN
07/02/2023	08/05/2023		MXF602200058	MXF602200058	1	9.15	9.15	MXN	S	1613185490	Daniel Boaventura, Big Band Jazz de México	Un Poco Más (feat. Gabriel Salas)	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXF602100690	MXF602100690	1	9.15	9.15	MXN	S	1592743300	Combo Movox	Mi Amor por Ti	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXF602100688	MXF602100688	1	9.15	9.15	MXN	S	1592170563	Carlos Cuevas	Nos Quisimos	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXF602300309	MXF602300309	1	9.15	9.15	MXN	S	1684584672	Carlos Macías	Mátame	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023	7509841282321		7509841282321	1	73.20	73.20	MXN	S	1699275383	Miguel Inzunza	20 Años de Viaje, Vol. 2 (En Vivo)	Fonarte Latino, S.A. de C.V.		I		MX			120.00	MXN
07/02/2023	08/05/2023	7509841282253		7509841282253	1	36.60	36.60	MXN	S	1695197282	Alejandra Ávalos	Cae La Noche (Remixes) - EP	Fonarte Latino, S.A. de C.V.		I		MX			60.00	MXN
07/02/2023	08/05/2023		MXF602300401	MXF602300401	1	9.15	9.15	MXN	S	1694773181	Calle Cuatro	Prohibido	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXF601000564	MXF601000564	1	9.15	9.15	MXN	S	400605482	Chava Flores	La Tienda De Mi Pueblo	Fonarte Latino SA de CV		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXF602000173	MXF602000173	1	9.15	9.15	MXN	S	1582212275	Los Músicos de José	Magnetic	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXG561900016	MXG561900016	1	9.15	9.15	MXN	S	1510822680	POM	El Venado con Motivos Yaquis (Fragmento)	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXG561900013	MXG561900013	1	9.15	9.15	MXN	S	1510822676	POM	Suite Indígena Primitiva	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXG561900012	MXG561900012	1	9.15	9.15	MXN	S	1510822675	POM	Xochipilli Macuilxóchitl	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXF602000286	MXF602000286	1	9.15	9.15	MXN	S	1507004247	Pasatono Orquesta	Obertura Maromera	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023		MXF602000168	MXF602000168	1	9.15	9.15	MXN	S	1502762974	Los Músicos de José	Dreams Groove	Fonarte Latino, S.A. de C.V.		H		MX			15.00	MXN
07/02/2023	08/05/2023	7509841318136		7509841318136	1	73.20	73.20	MXN	S	1501409515	Carlos Macías	Lástima Que Sean Ajenas (Edición Especial)	Fonarte Latino, S.A. de C.V.		I		MX			120.00	MXN
