Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
10/01/2023	11/04/2023		MXF601400890	MXF601400890	1	1.29	1.29	AUD	S	922599375	Los Folkloristas	El Coco (Son Jarocho) [México]	Fonarte Latino, S.A. de C.V.		H		AU			2.19	AUD
10/01/2023	11/04/2023		MXF602300509	MXF602300509	1	1.29	1.29	AUD	S	1708640958	Denise Gutiérrez, Alex Mercado	En lo Negro de los Ojos	Fonarte Latino, S.A. de C.V.		H		NZ			2.39	NZD
10/01/2023	11/04/2023		MXF601800269	MXF601800269	1	1.77	1.77	BRL	S	1357300240	Big Band Jazz de México	Sway (feat. Daniel Boaventura)	Fonarte Latino, S.A. de C.V.		H		BR			2.90	BRL
10/01/2023	11/04/2023		MXF602000285	MXF602000285	1	0.91	0.91	CAD	S	1506043351	Botellita de Jerez	Domingo, Mi Vida	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
10/01/2023	11/04/2023		MXF602200034	MXF602200034	1	0.91	0.91	CAD	S	1606804455	Fadi El Saadi	Laylat Hob ليلة حُب (Noche de Amor)	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
10/01/2023	11/04/2023		MXF602000284	MXF602000284	1	0.91	0.91	CAD	S	1506043350	Botellita de Jerez	La Verdad	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
10/01/2023	11/04/2023		MXF600900157	MXF600900157	1	0.91	0.91	CAD	S	319834694	Inspector	Y Qué	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
10/01/2023	11/04/2023		MXF600600014	MXF600600014	1	0.91	0.91	CAD	S	143894455	Pablo Milanés	Campesina	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
10/01/2023	11/04/2023		MXF602000283	MXF602000283	1	0.91	0.91	CAD	S	1506043349	Botellita de Jerez	El Fua	Fonarte Latino, S.A. de C.V.		H		CA			1.29	CAD
10/01/2023	11/04/2023		MXF600600015	MXF600600015	1	1.12	1.12	CHF	S	143894538	Pablo Milanés	A Salvador Allende en Su Combate por la Vida	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
10/01/2023	11/04/2023		MXF600600265	MXF600600265	1	0.86	0.86	CHF	S	148130972	Gabino Palomares	Hace Como un Año	Fonarte Latino, S.A. de C.V.		H		CH			1.50	CHF
10/01/2023	11/04/2023		MXF600800280	MXF600800280	1	1.12	1.12	CHF	S	303594899	Ensamble Tierra Mestiza	Tierra Mestiza	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
10/01/2023	11/04/2023		MXF600900168	MXF600900168	1	1.12	1.12	CHF	S	319834772	Inspector	Our House	Fonarte Latino, S.A. de C.V.		H		CH			1.90	CHF
10/01/2023	11/04/2023	7509841216289		7509841216289	1	6.75	6.75	CHF	S	922599312	Los Folkloristas	Cantando con La Muerte	Fonarte Latino, S.A. de C.V.		I		CH			12.00	CHF
10/01/2023	11/04/2023		MXF601500066	MXF601500066	1	0.86	0.86	CHF	S	964545875	Angels	Mi Vida Sin Ti	Fonarte Latino, S.A. de C.V.		H		CH			1.50	CHF
10/01/2023	11/04/2023		MXF600600019	MXF600600019	1	421.00	421.00	CLP	S	143894700	Silvio Rodríguez	Madre	Fonarte Latino, S.A. de C.V.		H		CL			690.00	CLP
10/01/2023	11/04/2023		MXF600600024	MXF600600024	1	5.25	5.25	DKK	S	144000780	Pablo Milanés	Yo Soy un Hombre Sincero	Fonarte Latino, S.A. de C.V.		H		DK			8.00	DKK
10/01/2023	11/04/2023		MXF600800013	MXF600800013	1	0.71	0.71	EUR	S	289351768	Ernesto Cavour	Ofrenda al Culto (Danza)	Fonarte Latino, S.A. de C.V.		H		NL			0.99	EUR
10/01/2023	11/04/2023		MXF602000101	MXF602000101	1	0.90	0.90	EUR	S	1500801306	Camila Sodi	A Quién Le Importa?	Fonarte Latino, S.A. de C.V.		H		IT			1.29	EUR
10/01/2023	11/04/2023	7509841275927		7509841275927	1	4.90	4.90	EUR	S	1451994112	Jesús Echevarría	Amor La Dulce Muerte (with Lourdes Ambriz & Ensamble SonÉ)	Fonarte Latino, S.A. de C.V.		I		ES			8.99	EUR
10/01/2023	11/04/2023	7509841274982		7509841274982	1	4.90	4.90	EUR	S	1339313342	Los Rude Boys	Justicia para el País	Fonarte Latino, S.A. de C.V.		I		DE			8.99	EUR
10/01/2023	11/04/2023		MXF601200794	MXF601200794	1	0.71	0.71	EUR	S	555716421	Fadi El Saadi	Deg Al Mani	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR
10/01/2023	11/04/2023		MXF601000649	MXF601000649	1	0.71	0.71	EUR	S	406773730	I Got You On Tape	Spinning For The Cause	Fonarte Latino SA de CV		H		DE			0.99	EUR
10/01/2023	11/04/2023	7509841210188		7509841210188	1	4.90	4.90	EUR	S	144000757	Pablo Milanés	Pablo Milanes Canta a Jose Marti	Fonarte Latino, S.A. de C.V.		I		ES			8.99	EUR
10/01/2023	11/04/2023		MXF600900736	MXF600900736	1	0.90	0.90	EUR	S	335171918	Mexicanto	Hacerte Venir	Fonarte Latino, S.A. de C.V.		H		IE			1.29	EUR
10/01/2023	11/04/2023		MXF601100828	MXF601100828	1	0.72	0.72	GBP	S	466634822	Los Folkloristas	Tierra Mestiza (México)	Fonarte Latino SA de CV		H		GB			0.99	GBP
10/01/2023	11/04/2023		MXF600602794	MXF600602794	1	0.57	0.57	GBP	S	186139598	Amparo Ochoa	Mujer	Fonarte Latino, S.A. de C.V.		H		GB			0.79	GBP
