sku	asin	price	quantity
05-FK5T-JWEQ	B09B6SF1KG	160.00	
06-R9R8-D744	B0979N8ZRJ	180.00	
0I-JX8H-EUCW	B09BBQ9JK7	180.00	
0U-2O4W-NZRT	B09BC4WKPN	140.00	
0Z-B4RS-T759	B09BBJLMWR	180.00	
190394389871	B01LXMZGX8	180.00	
1E-WT7K-JRMQ	B09BC4ZHGT	200.00	
1O-O3BL-CBH6	B09B9MFYKX	160.00	
1Q-RM22-6LVA	B09BBQM7H5	180.00	
20-0NM3-80IN	B09BC3Z6JQ	140.00	
25-3IF8-9C42	B09BC1N73H	140.00	
2O-J0DE-FVRN	B09BBNV6W2	180.00	
2T-02K9-MEPC	B09B6VYYLL	160.00	
2V-DE3C-B0GF	B09BBPTXL2	180.00	
2Y-JGAH-89U2	B09BBZDDZ9	180.00	
2Z-70WO-DGRK	B09B6RJLPB	160.00	
31-L3RQ-VTV5	B09BC7Z65W	160.00	
3E-Y05Z-1HKE	B09B9Z64V9	160.00	
3P-TIZ4-IK8G	B09B8Q4G6S	160.00	
42-ASFF-V4SH	B09B8ZLRGG	160.00	
44-1NVZ-24SU	B09B9X1MJ4	160.00	
55-BI7Y-0R6R	B09BC689RF	200.00	
5F-WYEV-3BO4	B09BBMRD7D	180.00	
5J-T8SP-D92L	B09B9HLKQB	160.00	
5O-SFEX-5D9V	B09BBNLSTZ	180.00	
5R-UOXR-OM6D	B09BBQ3TXN	180.00	
5T-CZOE-ISZU	B09BBSCVRY	180.00	
68-ZXKO-GK4T	B09B8SY4TN	160.00	
6B-F9TL-KPWH	B09BBV8WL7	180.00	
6J-S1SC-ALYG	B09BBQQQY1	180.00	
7509836318202	B0917316RB	180.00	
7509841010023	B01N811OHQ	360.00	
7509841210249	B08BG9265X	160.00	
7509841210522	B097CVFQQP	160.00	
75098412106	B09B4GCD9X	160.00	
7509841210706	B002F06SFE	160.00	
7509841210843	B097G8DZMB	160.00	
7509841211000	B0034MH7LQ	160.00	
7509841211109	B07V7LBPD2	160.00	
7509841211116	B08C4S2LMG	160.00	
7509841211178	B002J7AIJK	160.00	
7509841211284	B001412U4S	160.00	
7509841211697	B000PBW50W	160.00	
7509841211932	B097HXMYVZ	160.00	
7509841212076	B002JBA2AQ	160.00	
7509841212175	B097J11JL3	160.00	
7509841212229	B097HY7FKX	160.00	
7509841212496	B097J1TNNZ	160.00	
7509841212533	B000LZ5KJA	160.00	
7509841212748	B097J1ZB1Z	160.00	
7509841212939	B097J1YG8Q	160.00	
7509841213417	B097J3FN53	160.00	
7509841213622	B097HZGNT3	160.00	
7509841213905	B003UXAP7W	160.00	
7509841213929	B097J2J2RX	160.00	
7509841213974	B097J2M4BY	160.00	
7509841214124	B097J2XRDZ	160.00	
7509841214131	B001PMRD66	160.00	
7509841214254	B097J31767	160.00	
7509841214261	B097J422SG	160.00	
7509841214322	B002SFFN2A	160.00	
7509841214728	B097JC7RWJ	160.00	
7509841214742	B004H6HOSY	160.00	
7509841214988	B097JD17P8	160.00	
7509841215312	B0937Z2PR6	160.00	
7509841215473	B097JGRKVT	160.00	
7509841215633	B097KBB7BR	160.00	
7509841215640	B00CTLSYXI	160.00	
7509841215831	B097KCXZR6	160.00	
7509841215862	B097KB4HW7	160.00	
7509841216272	B097M5LB7X	160.00	
7509841216388	B097M848MQ	160.00	
7509841216579	B097M82KG3	160.00	
7509841216593	B0937KRT3S	160.00	
7509841216661	B097M96J3Q	160.00	
7509841216692	B092RMJH1Q	160.00	
7509841216791	B097M9YNW5	160.00	
7509841216906	B017UXIL1O	160.00	
7509841216951	B017UXIN9E	160.00	
7509841217347	B01LZH9HZX	160.00	
7509841217354	B01M0RWB21	160.00	
7509841217422	B097MB1VHJ	160.00	
7509841217637	B06ZZ3TFFM	160.00	
7509841217675	B077N2TQY1	160.00	
7509841217859	B07CH216YR	160.00	
7509841217880	B07MKZ9X39	160.00	
7509841217897	B07MB6JHJR	160.00	
7509841217965	B08WHGMDFN	160.00	
7509841217972	B08WHL19LD	160.00	
7509841218108	B08WJJS77W	160.00	
7509841277785	B097NJRLHF	180.00	
7509841313100	B097NKMQVR	180.00	
7509841313124	B097NKP4ZX	180.00	
7509841313780	B097NL8HV1	180.00	
7509841314503	B097NLV1PS	180.00	
7509841314732	B097NPBWGQ	180.00	
7509841314770	B097NPF11X	180.00	
7509841314886	B097NMTR5G	180.00	
7509841315043	B097NQ4N2T	180.00	
7509841315159	B097NMWB5H	180.00	
7509841315203	B0087I3OLE	180.00	
7509841315326	B092RJW2C3	180.00	
7509841315395	B00BJOG2L2	180.00	
7509841315500	B00CTLT0AO	180.00	
7509841315654	B097NR9Y1N	180.00	
7509841315791	B097Q8SVDM	180.00	
7509841316217	B097QB3SN9	180.00	
7509841316378	B00SF3QFDK	180.00	
7509841316507	B0937K7DT8	180.00	
7509841316545	B00UWW9WFU	180.00	
7509841316941	B017UXIUB0	180.00	
7509841317023	B01AFFB0FS	180.00	
7509841317030	B01FYCAX9G	180.00	
7509841317146	B01CYWGCPS	180.00	
7509841317184	B01FT9KSJO	180.00	
7509841317207	B01F2OF008	180.00	
7509841317221	B01GGQQY4M	180.00	
7509841317252	B01GGR983K	180.00	
7509841317511	B01MTYJKUX	180.00	
7509841317665	B078YDZ6KQ	180.00	
7509841317696	B073JKJNCV	180.00	
7509841317702	B077N2XBRQ	180.00	
7509841317719	B077N2J4P3	180.00	
7509841317788	B077N3CGQ9	180.00	
7509841317801	B07MD6JMKR	180.00	
7509841317818	B07M9LNK4T	180.00	
7509841317825	B078YFQG4V	180.00	
7509841317832	B07MHD4TGT	180.00	
7509841317849	B07ZWH45LT	180.00	
7509841317863	B07ZW9FTDJ	180.00	
